,cost_for_two,cuisines,locality,rest_name
246,,"['Indian', 'South Indian']","City Tower Hotel, Town Centre",Raagini - City Tower Hotel
247,,"['Arabian', 'Middle Eastern', 'Salad', 'Steak', 'Seafood', 'Desserts']","Sandy Beach Hotel & Resort, Sudah",The Coffee Shop - Sandy Beach Hotel & Resort
248,,['Iranian'],Owaid,Iran Restaurant & Bakery
249,,['Iranian'],"Lulu Mall, Seh Al Rahi",Hatam
250,,['Pakistani'],Ghalala,Al Rahaa Cafe
251,,['Cafe'],"Fortune Royal Hotel, Ghalala",Al Majlis - Fortune Royal Hotel
252,,['Desserts'],"Lulu Mall, Seh Al Rahi",Cherry Berry
253,,['Indian'],"City Tower Hotel, Town Centre",Gulzar - City Tower Hotel
254,,['Cafe'],"Le M√©ridien Al Aqah Beach Resort, Sudah",Tea & Dates Lobby Lounge - Le Méridien Al Aqah...
255,,"['Arabian', 'Middle Eastern', 'Cafe']",Al Mahatta,Layali Al Helmiyah Coffee Shop
256,,['Indian'],Al Mahatta,Iqbal
257,,['Indian'],Owaid,Bol Bol
258,,['Indian'],Al Faseel,Al Koofah
259,,['Cafe'],"Nour Arjaan by Rotana,Town Centre",Lobby Lounge - Nour Arjaan by Rotana
260,,"['Cafe', 'Desserts']","Concorde,Town Centre",Bistro Café - Concorde
261,,['Fast Food'],Rughaylat,Bin Hafeer
262,,"['Indian', 'South Indian']",Al Faseel,Tasneem
263,,"['Indian', 'South Indian']",Merashid,Ameena
264,,['Fast Food'],Al Sharia,Naya Burger Restaurant
265,,['Indian'],"Fortune Royal Hotel, Ghalala",Sargam - Fortune Royal Hotel
266,,"['Arabian', 'Fast Food', 'Middle Eastern']",Safad,Gargayan Restaurant And Dessert
267,,['Fast Food'],Al Sharia,Naya Burger Restaurant
268,,['Indian'],"Fortune Royal Hotel, Ghalala",Sargam - Fortune Royal Hotel
269,,['Cafe'],"City Tower Hotel, Town Centre",Cafe Lounge - City Tower Hotel
270,,['Cafe'],Ghalala,Corniche
271,,"['Arabian', 'Middle Eastern']",Al Gurfaa,New United Restaurant
272,,"['Arabian', 'Fast Food', 'Middle Eastern']",Safad,Gargayan Restaurant And Dessert
273,,['Finger Food'],"Novotel, Seh Al Rahi",Amwaj Pool Bar - Novotel
274,,"['Indian', 'Fast Food']",Al Mahatta,Al Wahda
275,,['Fast Food'],Old City,Al Kawkab
276,,['Fast Food'],Merashid,Al Sawaqi
277,,['Cafe'],Old City,Alhan
278,,['Finger Food'],"Holiday Beach Resort, Sudah",The Jet Set
279,,"['Arabian', 'Middle Eastern']","Hotel ibis, Seh Al Rahi",Al Majlis Café & Restaurant
280,,"['Indian', 'South Indian']","Fortune Royal Hotel, Ghalala",Tarangini - Fortune Royal Hotel
281,,"['Indian', 'South Indian']",Merashid,Sabiha
282,,['Cafe'],"Lulu Mall, Seh Al Rahi",Four Seasons
283,,['Pakistani'],"City Tower Hotel, Town Centre",Pakeeza - City Tower Hotel
284,,['Cafe'],Al Faseel,Faseel Cafe
285,,"['Indian', 'South Indian']",Ghalala,Mazab
286,,"['Indian', 'South Indian']",Ghalala,Khalid Ahmed
287,,['Cafe'],Al Gurfaa,Cafe Layali Zaman
288,,['Pakistani'],"Fortune Royal Hotel, Ghalala",Chandani - Fortune Royal Hotel
289,,"['Arabian', 'Middle Eastern']","Fortune Royal Hotel, Ghalala",Wanasah - Fortune Royal Hotel
290,,['Bangladeshi'],"City Tower Hotel, Town Centre",Dollywood - City Tower Hotel
