,cost_for_two,cuisines,locality,rest_name
108,,"['North Indian', 'Street Food', 'Chinese', 'Desserts', 'Ice Cream']",Oud Metha,The Mumbai Gully & Kulfiholic
109,,['Turkish'],"The Dubai Mall,Downtown Dubai",HuQQa - حوكا
110,,"['Mexican', 'Italian', 'Pizza']",Mankhool,Quattro Ristorante - مطعم كواترو
111,,"['Cafe', 'American']","The Beach, Jumeirah Beach Residence",Eggspectation
112,,"['Indian', 'Fast Food']",Al Karama,Raju Omlet - راجو أومليت
113,,"['Pakistani', 'Kebab', 'Afghan']",Al Barsha,Wakha - واخة
114,,"['Indian', 'Pakistani', 'BBQ', 'Biryani']",Discovery Gardens,Haji Sahab - حاجي صاحب
115,,"['Italian', 'Pizza']",Al Karama,Little Italy - لتل إيطالي
116,,"['Indian', 'North Indian', 'Rajasthani']",Al Karama,Rajdhani
117,,"['Kerala', 'South Indian', 'Indian']",Al Karama,Tamarind Terrace - تاماريند تيريس
118,,['Thai'],"Dusit Thani Dubai, Trade Centre Area",Benjarong - Dusit Thani Dubai
119,,"['Chinese', 'Asian', 'Street Food', 'Beverages']",Al Karama,Real Momos - ريل موموز
120,,"['Continental', 'Mediterranean']","Le Méridien Mina Seyahi Beach Resort & Marina, Dubai Marina",Barasti - Le Méridien Mina Seyahi Beach Resort &...
121,,"['Indian', 'North Indian', 'Kebab']",Al Karama,Pind Da Dhaba - بيند دا دهابا
122,,"['Mexican', 'Peruvian', 'Latin American']","Cluster R, Jumeirah Lake Towers",Highway 311 Grills and Eatery - هايواي 311...
123,,"['Indian', 'International']","Grand Millennium Dubai,Barsha Heights",Hitchki - Grand Millennium Dubai
124,,"['Burger', 'American', 'Steak']","Dubai Festival City Mall, Festival City",Famous Dave's Barbecue - فايموس دايفز...
125,,['Italian'],"Jumeirah Al Naseem, Madinat Jumeirah",Il Borro Tuscan Bistro - Jumeirah Al Naseem Hotel -...
126,,"['Indian', 'Biryani', 'North Indian', 'Kebab', 'Mughlai']",Mankhool,Gazebo - جازيبو
127,,"['American', 'Steak']","The Dubai Mall,Downtown Dubai",Texas Roadhouse - تكساس رودهاوس
128,,"['Chinese', 'Asian']","The Dubai Mall,Downtown Dubai",New Shanghai - نيو شانغهاي
129,,"['Portuguese', 'African']","Marina Walk, Dubai Marina",Nando's - Marina Walk
130,,"['Asian', 'Thai', 'Chinese', 'Healthy Food', 'Seafood']",Jumeirah 1,"Wok's Den - Wok, Thai, Chinese & Asian - وكص دن"
131,,"['Mexican', 'Latin American']","Hyatt Regency Dubai Creek Heights, Umm Hurair",La Tablita -  Hyatt Regency Dubai Creek Heights
132,,"['Indian', 'North Indian', 'Healthy Food']",Al Karama,My Govinda's - ماي جوفينداز
133,,"['Lebanese', 'Arabian', 'Middle Eastern']",Trade Centre Area,Al Safadi Restaurant - مطعم الصفدي
134,,['French'],Vida Downtown,La Serre - Vida Downtown Dubai
135,,"['Finger Food', 'Beverages', 'Sushi']","Four Points by Sheraton Sheikh Zayed Road, Trade Centre Area","Level 43, Four Points by Sheraton Sheikh Zayed..."
136,,"['International', 'Burger', 'Sushi', 'Seafood']","The Beach, Jumeirah Beach Residence",Catch 22 - كاتش 22
137,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Grill', 'Beverages']",Al Hudaiba and Around,Al Mallah - الملاح
138,,"['Thai', 'Asian', 'Seafood']",Barsha Heights,Fuchsia - فوشيا
139,,"['Cafe', 'Asian']",Jumeirah Village,Socialicious - سوشياليشيوس
140,,['International'],"CITY WALK, Al Safa",Mitts & Trays
141,,"['Australian', 'European']",Al Safa,Jones the Grocer - Manara
142,,"['Bakery', 'Cafe']",Al Safa,Yamanote Atelier
143,,"['Indian', 'North Indian', 'Mughlai']","Dubai Festival City Mall, Festival City",Peppermill
