,cost_for_two,cuisines,locality,rest_name
121,,"['Indian', 'Chinese', 'Kerala', 'South Indian']",Al Markaziya,Ruchi
122,,"['Steak', 'Beverages']",Marina Village,Bill's Farm
123,,"['Lebanese', 'Street Food']",Al Khalidiya,Shish Shawerma
124,,"['Lebanese', 'Arabian', 'Middle Eastern']",Tourist Club Area (Al Zahiyah),Nasr Restaurant & Grill
125,,"['Cafe', 'Healthy Food', 'Salad']","Al Raha Gardens Plaza, Khalifa City A",Circle Cafe
126,,"['Cafe', 'Continental']",Al Bateen,Tashas
127,,"['Cafe', 'Desserts', 'Japanese']",Al Bateen,Keki
128,,['Asian'],"St. Regis Saadiyat Island Resort, Saadiyat Island",Sontaya - St. Regis Saadiyat Island Resort
129,,"['Burger', 'Fast Food']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Gourmet Burger Kitchen
130,,['Chinese'],"Rosewood Abu Dhabi, Al Maryah Island",Dai Pai Dong
131,,"['Lebanese', 'Arabian', 'Middle Eastern']","Sheraton Hotel & Resort, Al Markaziya",Almayass
132,,"['Cafe', 'Bakery']","Al Wahda Mall, Al Wahda",Paul Bakery & Restaurant
133,,"['Arabian', 'Middle Eastern']",Mussafah Shabiya,Layali Al Sham
134,,"['American', 'Tex-Mex', 'Pizza', 'Burger', 'European', 'Steak']","Yas Marina, Yas Island",Stars 'N' Bars
135,,"['Arabian', 'Middle Eastern']",Mussafah Shabiya,Layali Al Sham
136,,"['American', 'Tex-Mex', 'Pizza', 'Burger', 'European', 'Steak']","Yas Marina, Yas Island",Stars 'N' Bars
137,,"['Fast Food', 'Beverages']",Madinat Zayed,Jollibee
138,,"['Cafe', 'Italian', 'Arabian', 'Desserts', 'European', 'Beverages']","World Trade Center Souq, Al Markaziya",Shakespeare and Co. - شكسبير اند كو
139,,"['Pizza', 'Italian', 'Pasta']",Al Khalidiya,Broccoli Pizza & Pasta
140,,['Chinese'],Al Wahda,Oasis Chinese Restaurant
141,,"['Arabian', 'Lebanese', 'Mediterranean', 'Middle Eastern', 'Turkish']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Otantik Restaurant and Cafe
142,,"['French', 'European']","The Galleria, Al Maryah Island",Bentley Kitchen
