,cost_for_two,cuisines,locality,rest_name
106,,"['Italian', 'Fast Food']","Fairmont Ajman, Ajman Corniche",Gioia - Fairmont Ajman
107,,"['Fast Food', 'Healthy Food', 'American', 'Salad']","Corniche Mall, Ajman Corniche",Subway
108,,"['Burger', 'Fast Food']",Al Hamidiya,Container Burger
109,,['Cafe'],"Bahi Ajman Palace Hotel, Ajman Corniche",Nojoom Lounge - Bahi Ajman Palace Hotel
110,,"['Italian', 'Fast Food']",Al Zahra,Potato & Pasta
111,,"['Arabian', 'Middle Eastern']",Al Hamidiya,Al Hammadi Restaurant
112,,"['Fast Food', 'Healthy Food']",Al Hamidiya,Cook Connect Restaurant
113,,['Fast Food'],"Emarat Petrol Station, Meshairef",Texas Chicken
114,,"['International', 'Finger Food']","Radisson Blu Hotel Ajman, Al Jurf, Ajman",Thirsty Horse
115,,"['Cafe', 'American', 'Coffee', 'Beverages']","Grand Centrale Mall, Al Jurf",Tim Hortons
116,,['Fast Food'],Al Hamidiya,Eat & Drink
117,,"['South Indian', 'Kerala']",Al Rashidiya 3,Pachamulaku
118,,"['Cafe', 'Asian', 'Arabian', 'Italian']","Corniche Avenue, Ajman Corniche",Seroop Restaurant & Coffee Shop
119,,"['Desserts', 'Ice Cream', 'Beverages']",Al Hamidiya,Snow Flake
120,,['Afghan'],Nuaimiya,Al Kabab Al Afghani
121,,['Fast Food'],Al Jurf,Lets Zinger
122,,"['South Indian', 'Fast Food', 'North Indian', 'Beverages']",Al Bustan,Fathima Restaurant
123,,"['German', 'Fast Food']","City Centre Ajman, Al Jurf",Doner & Gyros
124,,"['Lebanese', 'Arabian', 'Middle Eastern']",Al Zahra,Layaly Beirut
125,,"['Arabian', 'Pizza', 'Beverages']",Al Jurf,Al Arz
126,,"['Desserts', 'Ice Cream']","Grand Centrale Mall, Al Jurf",Cold Stone Creamery
127,,['Turkish'],"City Centre Ajman, Al Jurf",Mado
128,,"['Chinese', 'North Indian', 'South Indian', 'Kerala']",Al Rashidiya 1,Thanima Restaurant
129,,"['Seafood', 'BBQ', 'Mediterranean']","Ajman Saray, Ajman Corniche",Vista - Ajman Saray
130,,['Desserts'],Al Zahra,Yummy In My Tummy
131,,"['Pizza', 'Italian', 'Pasta']",Ajman Corniche,Broccoli Pizza & Pasta
132,,['Cafe'],Al Jurf,Starbucks
133,,"['Cafe', 'French', 'Desserts']","City Centre Ajman, Al Jurf",PAUL
134,,['Desserts'],Al Rashidiya 1,Karachi Rabri Sweets
135,,['Chinese'],"City Centre Ajman, Al Jurf",Panda Chinese
136,,['Italian'],"Radisson Blu Hotel Ajman, Al Jurf, Ajman",Filini Restaurant
137,,"['Arabian', 'Middle Eastern', 'Lebanese']",Al Tallah,Fern El Balad
138,,"['Arabian', 'Indian', 'Chinese', 'Seafood']",Al Zahra,Emirates Sea Restaurant
139,,"['Chinese', 'Fast Food']",Al Nakhil,XDine Restaurant & Cafeteria
140,,"['Arabian', 'Middle Eastern', 'Fast Food']",Al Hamidiya,Al Tanoor Restaurant
141,,['Cafe'],"Flamingo Mall, Al Jurf",Jeon Cafe
142,,['Seafood'],"Corniche Avenue, Ajman Corniche",Estakouza Seafood Restaurant
143,,"['Arabian', 'Middle Eastern', 'Italian', 'Indian']","Ramada Hotel & Suites, Al Rashidiya 1",Orchid Restaurant - Ramada Hotel & Suites
144,,"['Italian', 'Pizza']","City Centre Ajman, Al Jurf",Pizzaro
145,,"['Chinese', 'South Indian', 'Chettinad', 'North Indian']",Al Bustan,Chennai Chettinadu Restaurant
146,,"['Cafe', 'Desserts']",Al Rashidiya 3,Wonder Chocolate
147,,"['Italian', 'Pizza', 'Fast Food']",Ajman Industrial Area,Pizza Bite!
148,,"['Indian', 'Kerala']",Al Zahra,Remas Restaurant
149,,['Sushi'],Al Muwaihat,Sushi Bar
150,,"['Ice Cream', 'Beverages']",Al Muwaihat,Ice Storm
151,,"['Fast Food', 'Juices']",Nuaimiya,Safeenath Al Bahar
152,,['Fast Food'],Ajman Corniche,Rock Cafeteria
153,,['Fast Food'],Meshairef,Najmat Al Khaleej
154,,"['Pakistani', 'Arabian', 'Middle Eastern', 'Grill']",Al Muwaihat,Super Kabab Barbeque
155,,"['Indian', 'South Indian']",Al Jurf,Saravanaa Bhavan
156,,['Cafe'],Al Rashidiya 1,Starters Cafe
157,,"['Fast Food', 'Juices']",Nuaimiya,Hot Burger
158,,['Bakery'],Al Jurf Industrial Area,Bake Home
159,,['Pakistani'],Al Nakhil,Pak Ghazi
160,,"['Nepalese', 'Indian', 'Chinese']",Al Nakhil,Kathmandu Darbar
161,,['Bakery'],Al Rashidiya 1,Oasis Bakery
162,,['Indian'],Al Jurf,The Terrace
163,,"['Mandi', 'Emirati', 'Arabian', 'Middle Eastern']",Nuaimiya,Al Janadriah Restaurant
164,,['International'],"Radisson Blu Hotel Ajman, Al Jurf, Ajman",Larder Restaurant
165,,"['Indian', 'Arabian', 'Middle Eastern', 'Chinese']",Al Nakhil 1,Aroos Al Madeena Restaurant
166,,"['Biryani', 'Beverages']",Al Zahra,Nusrat Biryani Restaurant
167,,"['Arabian', 'Middle Eastern', 'Kebab']",Nuaimiya,Al Aroos Restaurant
