,cost_for_two,cuisines,locality,rest_name
187,,"['Arabian', 'Middle Eastern', 'Street Food', 'Chinese']",Al Mahatah,Alath Shawarma
188,,"['Fast Food', 'Juices']",Al Khan,Shabab Al Khan Cafeteria
189,,"['Italian', 'Pizza']","Matajer Al Juraina, University City",PizzaExpress
190,,"['Pizza', 'Fast Food']",Al Majaz,New York Pizza
191,,"['Biryani', 'Chinese', 'South Indian']",Abu Shagara,Chennai Bucket Biryani
192,,"['Bakery', 'Arabian', 'Middle Eastern']",Al Majaz,Al Buhaira Pastry
193,,"['Fast Food', 'Juices']",Al Taawun,Ice Cap Cafeteria
194,,['Cafe'],The Flag Island,Jones The Grocer
195,,"['Fast Food', 'Indian', 'Chinese', 'Beverages']",Al Majaz,Cafeteria Al Barari
196,,"['Asian', 'Chinese', 'Thai']","Citymax Hotel Sharjah, Abu Shagara",Sizzling Wok - Citymax Hotel Sharjah
197,,"['North Indian', 'South Indian', 'Pakistani', 'Chinese']",Muwailih Commercial,Panoor Restaurant
198,,"['Grill', 'Arabian', 'Egyptian', 'Seafood']",Abu Shagara,Shatee Restaurant - مطعم الشاطئ
199,,"['Kerala', 'Indian', 'Grill', 'Juices']",Al Nud,Al Maidan Restaurant
200,,"['Pakistani', 'North Indian', 'Biryani', 'Chinese']",Industrial Area,Karachi Darbar - كراتشي دربار
201,,['Egyptian'],Al Majaz,Al Amoor Express
202,,"['Indian', 'Chinese']",Al Ghuwair,Kings Palace Restaurant
203,,"['Asian', 'Filipino', 'Chinese', 'Japanese', 'Korean']",Al Nahda,Icook
204,,"['Street Food', 'Fast Food']",Muwailih Commercial,Momos n Rolls
205,,"['Burger', 'Fast Food']",Al Majaz,Loris Restaurant
206,,"['Chinese', 'Indian', 'Arabian', 'Middle Eastern']",Al Majaz,China Hot
207,,"['Indian', 'South Indian', 'North Indian', 'Chinese', 'Nepalese']",Al Majaz,Al Qamar Al Lamie Cafeteria
208,,"['Mandi', 'Arabian', 'Middle Eastern', 'Yemeni']",Al Nahda,Al Bait Al Arabi Restaurant
209,,"['Pizza', 'Italian', 'Pasta']",Bu Tina,Broccoli Pizza & Pasta
210,,"['Mandi', 'Arabian', 'Middle Eastern', 'Yemeni']",Al Nud,New Al Mukala Mandi & Madhbi Restaurant
211,,"['South Indian', 'North Indian', 'Chinese']",Al Ghuwair,Aryaas Gourmet Veg
212,,"['Fast Food', 'Chinese', 'Indian']",Al Nahda,Al Shahd Restaurant
213,,"['Arabian', 'Middle Eastern', 'Grill', 'Kebab']",Al Taawun,Zahrat Al Dar
214,,"['Ice Cream', 'Desserts', 'Beverages']","The Grand Avenue, Al Nasseriya",Alaska Ice Cream
215,,"['Fast Food', 'Grill', 'Juices']",Abu Shagara,Chicken World
216,,['South Indian'],Abu Shagara,Shams Al Azrah Cafeteria ( AVR Chettinad )
217,,"['Fast Food', 'Burger', 'American']",Al Majaz,Burger King - برجر كنج
218,,"['Fast Food', 'American']",Halwan Suburb,SFC Plus
219,,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",Al Shuwaihean,Grand Family
220,,['Desserts'],Al Majaz,Krispy Kreme
221,,"['Indian', 'North Indian']",Al Ghuwair,Portsaid Vegetarian Restaurant
222,,['Indian'],Muwailih Commercial,Sasya Pure Veg
223,,['Indian'],Industrial Area,Sujas Kitchen
224,,"['Cafe', 'Italian', 'Burger', 'Desserts']",University City,First Avenue Cafe
225,,['Indian'],Muwailih Commercial,Sasya Pure Veg
226,,"['Cafe', 'Italian', 'Burger', 'Desserts']",University City,First Avenue Cafe
227,,"['Mandi', 'Arabian', 'Middle Eastern', 'Yemeni']",Abu Shagara,Al Janadriah Restaurant
228,,"['Indian', 'Fast Food']",Abu Shagara,Madinat Gujarat Cafeteria
229,,"['Indian', 'Biryani']",Muwailih Commercial,Biryani's Baadshah
230,,"['Lebanese', 'Arabian', 'Middle Eastern']",Halwan Suburb,Falafil Al Comodor
231,,"['Afghan', 'Pakistani', 'Fast Food', 'Kebab']",Industrial Area,Al Fadhl Al Afghani Restaurant
232,,"['Arabian', 'Middle Eastern']",Al Taawun,Al Khaleej Al Arabi Pastry
233,,"['International', 'Indian', 'Chinese', 'Grill']",Abu Shagara,Food Bowl
234,,"['Japanese', 'Asian']","Zero 6, University City",Wagamama
235,,"['Arabian', 'Middle Eastern']","Al Qasba, Al Khan",Shababeek
236,,['South Indian'],Abu Shagara,Mister Idli Restaurant
237,,"['Indian', 'Chinese', 'Biryani']",Al Ghuwair,Yummy Indian Restaurant
238,,"['Fast Food', 'Burger']",University City,Steak On Fries
239,,"['Indian', 'North Indian', 'Mughlai', 'Biryani', 'Kebab']",Abu Shagara,India Bistro Express
240,,"['Pakistani', 'Indian', 'Arabian', 'Mandi', 'Kebab']",Al Mahatah,Qasr Al Ibrahimi
241,,"['American', 'Continental', 'Italian', 'Burger']",University City,Loranzo Cafe
242,,['Bakery'],Abu Shagara,French Cakes
243,,"['Indian', 'South Indian', 'North Indian']",Al Nahda,Udupi City Vegetarian Restaurant
244,,"['Arabian', 'Middle Eastern']",Al Nahda,Al Amoor
245,,"['Desserts', 'Pakistani']",Muwailih Commercial,Qasr Sialkot Cafeteria
246,,"['Indian', 'Nepalese', 'Chinese', 'Fast Food']",Al Nahda,Momo Mantra
247,,"['Fast Food', 'Desserts', 'Beverages']",Al Majaz,Highland Palace Restaurant
248,,"['Arabian', 'Iranian', 'Indian', 'Kebab']","Crystal Plaza Hotel, Al Majaz",Danial Restaurant
